,County_Name,FIPS,Population,Median Income,Gini Index,% Lived in Area Last Year,% Undergrads,% with Masters Degree,% in Armed Forces,% of Voters Voting Republican in 2020 General Election,TOT_POP,White,Black,Asian,Native_American,Multiracial,male_percentage
0,"Prince George's County, Maryland",24033,910551,41402,0.4,0.8,0.07,0.08,0,0.09,967201,0.2703626236945578,0.6428239838461706,0.04412423064078718,0.014870745584423507,0.027818416234060967,1.0
1,"Petersburg city, Virginia",51730,30791,25818,0.46,0.82,0.04,0.04,0.02,0.11,33458,0.18130193077888695,0.7755693705541276,0.011297746428357942,0.006425966883854385,0.02540498535477315,1.0
2,"Baltimore city, Maryland",24510,602274,31089,0.51,0.83,0.06,0.08,0,0.11,585708,0.31881244579210116,0.6250230490278432,0.027611028020788516,0.005659816837058739,0.022893660322208336,1.0
3,"New York County, New York",36061,1629153,52409,0.6,0.88,0.05,0.15,0,0.12,1694251,0.6468734561762101,0.1767559824370769,0.12772310596245776,0.013963102279414325,0.034684353144840994,1.0
4,"San Francisco County, California",6075,874784,54549,0.51,0.89,0.05,0.13,0,0.13,873965,0.5233539100536063,0.0555662984215615,0.36190579714290616,0.011991326883799695,0.04718266749812636,1.0
5,"Charlottesville city, Virginia",51540,47217,31161,0.53,0.87,0.17,0.1,0,0.13,46553,0.7090413077567503,0.1808476360277533,0.07178914355680623,0.0046828346186067495,0.03363907804008335,1.0
6,"Jefferson County, Mississippi",28063,7129,18497,0.47,0.79,0.04,0.06,0,0.14,7260,0.13402203856749312,0.8539944903581267,0.001790633608815427,0.0027548209366391185,0.00743801652892562,1.0
7,"Claiborne County, Mississippi",28021,9042,15383,0.59,0.8,0.14,0.05,0,0.14,9135,0.1150519978106185,0.8652435686918446,0.007553366174055829,0.002627257799671593,0.009523809523809525,1.0
8,"Clayton County, Georgia",13063,287560,26336,0.41,0.76,0.06,0.03,0,0.14,297595,0.18628337169643308,0.7314605420117946,0.05060904921117626,0.007459802752062367,0.024187234328533747,1.0
9,"Orleans Parish, Louisiana",22071,391249,26607,0.57,0.84,0.07,0.08,0,0.15,383997,0.3507605528168189,0.5990593676513097,0.029497626283538674,0.004020864746339164,0.016661588501993504,1.0
10,"Richmond city, Virginia",51760,229233,28458,0.53,0.83,0.09,0.08,0,0.15,226610,0.4821058205727903,0.4630907726931733,0.02348087021755439,0.006641366223908918,0.02468117029257314,1.0
11,"Marin County, California",6041,259441,55546,0.51,0.83,0.05,0.12,0,0.16,262321,0.8497718444196233,0.028629046092382995,0.06693326115713191,0.012987904132722885,0.04167794419813892,1.0
12,"DeKalb County, Georgia",13089,755287,34202,0.49,0.8,0.05,0.09,0,0.16,764382,0.35928763367007593,0.5463315462687505,0.06565434560206808,0.00623248585131518,0.022493988607790345,1.0
13,"St. Louis city, Missouri",29510,304709,29892,0.5,0.85,0.05,0.08,0,0.16,301578,0.48629210353540375,0.44828203648807274,0.03537393311183176,0.0033092599592808494,0.026742666905410873,1.0
14,"Bronx County, New York",36005,1427056,23541,0.51,0.8,0.06,0.04,0,0.16,1472654,0.44437389909646124,0.43731589361791706,0.04628446328872906,0.03470944295129745,0.03731630104559523,1.0
15,"Arlington County, Virginia",51013,236434,71423,0.44,0.85,0.03,0.2,0.02,0.17,238643,0.7446855763630192,0.09881287110872726,0.11157251626907137,0.007919779754696345,0.03700925650448578,1.0
16,"Falls Church city, Virginia",51610,14309,76901,0.42,0.83,0.04,0.22,0.01,0.17,14658,0.8007231545913495,0.04536771728748806,0.10124164278892073,0.0071633237822349575,0.04550416155000682,1.0
17,"Suffolk County, Massachusetts",25025,801162,36591,0.53,0.85,0.1,0.1,0,0.17,797936,0.6148199855627519,0.2437664173567805,0.09468428545647771,0.009220037697258928,0.037509273926730965,1.0
18,"Menominee County, Wisconsin",55078,4566,25040,0.48,0.79,0.02,0.03,0,0.17,4255,0.12009400705052879,0.00846063454759107,0.018566392479435957,0.8225616921269095,0.030317273795534665,1.0
19,"Holmes County, Mississippi",28051,17414,16579,0.54,0.78,0.09,0.02,0,0.17,17000,0.1538235294117647,0.8348823529411765,0.0024705882352941176,0.001588235294117647,0.0072352941176470585,1.0
20,"Alexandria city, Virginia",51510,158309,62153,0.45,0.83,0.04,0.18,0.02,0.18,159467,0.6662256140768936,0.2274828020844438,0.06524233854026225,0.007700652799638797,0.0333485924987615,1.0
21,"Denver County, Colorado",8031,715878,40997,0.49,0.83,0.05,0.1,0,0.18,715522,0.8073168959165476,0.09803192634188745,0.04058575417667102,0.020077649604065283,0.033987773960828596,1.0
22,"Durham County, North Carolina",37063,317665,35085,0.47,0.81,0.06,0.1,0,0.18,324833,0.5399728475862982,0.3658926279041846,0.05580098081167861,0.010999498203692358,0.02733404549414622,1.0
23,"Alameda County, California",6001,1661584,45882,0.46,0.83,0.06,0.1,0,0.18,1682353,0.48596578720399347,0.10864069550207359,0.32948911435352746,0.020536712568646413,0.05536769037175908,1.0
24,"Multnomah County, Oregon",41051,809869,36198,0.47,0.83,0.06,0.09,0,0.18,815428,0.7885736079702929,0.059861814899660054,0.08087041406476109,0.02151262895068602,0.04918153411459994,1.0
25,"Philadelphia County, Pennsylvania",42101,1581531,27331,0.52,0.81,0.06,0.06,0,0.18,1603797,0.44607141676907985,0.4357989196887137,0.07864025185232296,0.010968345744505071,0.028521065945378375,1.0
26,"Macon County, Alabama",1087,18437,19505,0.51,0.84,0.15,0.04,0,0.18,19532,0.17786197010034815,0.801761212369445,0.004915011263567479,0.0027134958017612123,0.012748310464878149,1.0
27,"Greene County, Alabama",1063,8221,18127,0.48,0.86,0.02,0.02,0,0.18,7730,0.1834411384217335,0.7992238033635187,0.00258732212160414,0.004657179818887452,0.010090556274256144,1.0
28,"Montgomery County, Maryland",24031,1047661,50040,0.46,0.8,0.05,0.13,0,0.19,1062061,0.5954102447976152,0.20157975860143626,0.15874700229082886,0.008719838126058673,0.03554315618406099,1.0
29,"Santa Cruz County, California",6087,273170,34883,0.47,0.83,0.12,0.08,0,0.19,270861,0.8677070526949247,0.014675423925925106,0.05255093941172779,0.021560874396830847,0.04350570957059156,1.0
30,"San Mateo County, California",6081,765623,51281,0.49,0.83,0.05,0.1,0,0.2,764442,0.5874533319728639,0.02758875101054102,0.3120825386360247,0.023418388837871285,0.04945698954269912,1.0
31,"Dukes County, Massachusetts",25007,17430,40064,0.48,0.88,0.03,0.09,0,0.2,20600,0.8959223300970873,0.04961165048543689,0.013155339805825242,0.013155339805825242,0.02815533980582524,1.0
32,"Boulder County, Colorado",8013,324682,38758,0.48,0.82,0.11,0.13,0,0.21,330758,0.8997605500093724,0.01205715356847,0.04967075626288706,0.009756377774687233,0.02875516238458329,1.0
33,"Chittenden County, Vermont",50007,163414,36486,0.45,0.82,0.11,0.1,0,0.21,168323,0.8991700480623563,0.025611473179541714,0.04848416437444675,0.0028754240359309185,0.023858890347724315,1.0
34,"Todd County, South Dakota",46121,10308,18005,0.54,0.65,0.02,0.02,0,0.21,9319,0.07683227814143148,0.005579997853846979,0.030904603498229422,0.8643631290911042,0.022319991415387916,1.0
35,"King County, Washington",53033,2225064,47817,0.47,0.82,0.05,0.11,0,0.22,2269675,0.653395750492912,0.0710145725709628,0.2026263672111646,0.018429510833048786,0.05453379889191184,1.0
36,"Santa Fe County, New Mexico",35049,150319,32407,0.48,0.85,0.04,0.1,0,0.22,154823,0.9046330325597618,0.01215581664223016,0.016115176685634565,0.04571026268706846,0.021385711425305026,1.0
37,"Taos County, New Mexico",35055,32759,23116,0.53,0.84,0.04,0.08,0,0.22,34489,0.8765983357012381,0.008147525297921076,0.01000318942271449,0.08022847864536518,0.025022470932761172,1.0
38,"Kings County, New York",36047,2576771,33183,0.52,0.82,0.05,0.08,0,0.22,2736074,0.5020960690390683,0.33237258933786146,0.12720781674764645,0.010723759664395042,0.027599765211028648,1.0
39,"San Miguel County, Colorado",8113,8110,35949,0.51,0.88,0.01,0.08,0,0.22,8072,0.9490832507433102,0.00904360753221011,0.009786917740336968,0.014246778989098118,0.017839444995044598,1.0
40,"Essex County, New Jersey",34013,798698,33678,0.55,0.8,0.05,0.07,0,0.22,863728,0.487380286386455,0.41790355297037957,0.060494739084526614,0.009873478687735028,0.0243479428709038,1.0
41,"Sioux County, North Dakota",38085,4339,21979,0.51,0.73,0.04,0.02,0,0.22,3898,0.11339148281169831,0.007439712673165726,0.0017957927142124167,0.8370959466393022,0.04027706516162134,1.0
42,"San Juan County, Washington",53055,16953,35646,0.52,0.89,0.02,0.12,0,0.23,17788,0.9392849111760737,0.007926692152012593,0.016303125702720935,0.012030582415111311,0.024454688554081404,1.0
43,"Dane County, Wisconsin",55025,542459,40013,0.44,0.82,0.09,0.09,0,0.23,561504,0.8441560523166354,0.05676896335555935,0.06456588020744287,0.005410469026044338,0.029098635094318117,1.0
44,"Pitkin County, Colorado",8097,17980,48186,0.53,0.87,0.02,0.08,0,0.23,17358,0.9446940891807812,0.010773130544993664,0.02120059914736721,0.0064523562622421935,0.016879824864615738,1.0
45,"Sonoma County, California",6097,496801,38515,0.45,0.84,0.06,0.06,0,0.23,488863,0.8638964290609026,0.021050887467449982,0.04648541615953754,0.02671709660988866,0.04185017070222128,1.0
46,"Allendale County, South Carolina",45005,8789,18303,0.48,0.82,0.03,0.03,0,0.23,8039,0.2435626321681801,0.7313098644109964,0.009080731434257992,0.005348923995521831,0.010697847991043662,1.0
47,"Noxubee County, Mississippi",28103,10566,19535,0.48,0.82,0.03,0.02,0,0.23,10285,0.2626154594069033,0.7237724842002917,0.002333495381623724,0.0037919299951385513,0.0074866310160427805,1.0
48,"Orange County, North Carolina",37135,146354,33000,0.51,0.8,0.15,0.12,0,0.24,148696,0.7680838758271911,0.11761580674665088,0.0800223274331522,0.007216064991660838,0.027061925001345025,1.0
49,"Tompkins County, New York",36109,102237,30080,0.5,0.82,0.21,0.1,0,0.24,105740,0.8149233970115377,0.04474181955740496,0.09917722716096085,0.005163608851900889,0.035993947418195574,1.0
50,"Cook County, Illinois",17031,5169517,35336,0.5,0.83,0.05,0.08,0,0.24,5275541,0.6528776859093693,0.23756937914045215,0.08025110600031352,0.008288818151541236,0.021013010798323812,1.0
51,"Santa Clara County, California",6085,1924379,50030,0.47,0.82,0.06,0.13,0,0.25,1936259,0.5138739187267819,0.028477078737916776,0.3975847239444723,0.017122192847134603,0.04294208574369441,1.0
52,"Windham County, Vermont",50025,42628,30486,0.47,0.85,0.04,0.1,0,0.25,45905,0.9470210216751987,0.015684565951421415,0.012678357477398976,0.0030933449515303346,0.021522709944450494,1.0
53,"Hampshire County, Massachusetts",25015,161361,28763,0.46,0.83,0.2,0.1,0,0.25,162308,0.8780898045690909,0.03572220716169258,0.05648520097592232,0.0040355373733888655,0.025667249919905367,1.0
54,"Washington County, Vermont",50023,58336,35422,0.43,0.86,0.06,0.09,0,0.25,59807,0.9575300550102831,0.009681141003561456,0.0093801728894611,0.003511294664504155,0.019897336432190212,1.0
55,"Berkshire County, Massachusetts",25003,125927,31911,0.46,0.86,0.06,0.08,0,0.25,129026,0.9166369568924093,0.037325810301799635,0.017229085610652117,0.0042239548618107975,0.024584192333328165,1.0
56,"Hinds County, Mississippi",28049,235604,25581,0.47,0.8,0.07,0.06,0,0.25,227742,0.2480174934794636,0.7338962510208921,0.007328468178904198,0.001326061947291233,0.009431725373448902,1.0
57,"Sumter County, Alabama",1119,12595,16495,0.48,0.82,0.14,0.04,0,0.25,12345,0.2604293236127987,0.7113001215066829,0.016767922235722963,0.002187120291616039,0.009315512353179425,1.0
